Well 	Sample 	Primer
H20	blank 	blank 
H21	blank 	blank 
H22	blank 	blank 
H23	blank 	blank 
H24	blank 	blank 
I01	blank 	blank 
I02	blank 	blank 
I03	blank 	blank 
I04	blank 	blank 
I05	blank 	blank 
I06	blank 	blank 
I07	blank 	blank 
I08	blank 	blank 
I09	blank 	blank 
I10	blank 	blank 
I11	blank 	blank 
I12	blank 	blank 
I13	blank 	blank 
I14	blank 	blank 
I15	blank 	blank 
I16	blank 	blank 
I17	blank 	blank 
I18	blank 	blank 
I19	blank 	blank 
I20	blank 	blank 
I21	blank 	blank 
I22	blank 	blank 
I23	blank 	blank 
I24	blank 	blank 
J01	blank 	blank 
J02	blank 	blank 
J03	blank 	blank 
J04	blank 	blank 
J05	blank 	blank 
J06	blank 	blank 
J07	blank 	blank 
J08	blank 	blank 
J09	blank 	blank 
J10	blank 	blank 
J11	blank 	blank 
J12	blank 	blank 
J13	blank 	blank 
J14	blank 	blank 
J15	blank 	blank 
J16	blank 	blank 
J17	blank 	blank 
J18	blank 	blank 
J19	blank 	blank 
J20	blank 	blank 
J21	blank 	blank 
J22	blank 	blank 
J23	blank 	blank 
J24	blank 	blank 
K01	blank 	blank 
K02	blank 	blank 
K03	blank 	blank 
K04	blank 	blank 
K05	blank 	blank 
K06	blank 	blank 
K07	blank 	blank 
K08	blank 	blank 
K09	blank 	blank 
K10	blank 	blank 
K11	blank 	blank 
K12	blank 	blank 
K13	blank 	blank 
K14	blank 	blank 
K15	blank 	blank 
K16	blank 	blank 
K17	blank 	blank 
K18	blank 	blank 
K19	blank 	blank 
K20	blank 	blank 
K21	blank 	blank 
K22	blank 	blank 
K23	blank 	blank 
K24	blank 	blank 
L01	blank 	blank 
L02	blank 	blank 
L03	blank 	blank 
L04	blank 	blank 
L05	blank 	blank 
L06	blank 	blank 
L07	blank 	blank 
L08	blank 	blank 
L09	blank 	blank 
L10	blank 	blank 
L11	blank 	blank 
L12	blank 	blank 
L13	blank 	blank 
L14	blank 	blank 
L15	blank 	blank 
L16	blank 	blank 
L17	blank 	blank 
L18	blank 	blank 
L19	blank 	blank 
L20	blank 	blank 
L21	blank 	blank 
L22	blank 	blank 
L23	blank 	blank 
L24	blank 	blank 
M01	blank 	blank 
M02	blank 	blank 
M03	blank 	blank 
M04	blank 	blank 
M05	blank 	blank 
M06	blank 	blank 
M07	blank 	blank 
M08	blank 	blank 
M09	blank 	blank 
M10	blank 	blank 
M11	blank 	blank 
M12	blank 	blank 
M13	blank 	blank 
M14	blank 	blank 
M15	blank 	blank 
M16	blank 	blank 
M17	blank 	blank 
M18	blank 	blank 
M19	blank 	blank 
M20	blank 	blank 
M21	blank 	blank 
M22	blank 	blank 
M23	blank 	blank 
M24	blank 	blank 
N01	blank 	blank 
N02	blank 	blank 
N03	blank 	blank 
N04	blank 	blank 
N05	blank 	blank 
N06	blank 	blank 
N07	blank 	blank 
N08	blank 	blank 
N09	blank 	blank 
N10	blank 	blank 
N11	blank 	blank 
N12	blank 	blank 
N13	blank 	blank 
N14	blank 	blank 
N15	blank 	blank 
N16	blank 	blank 
N17	blank 	blank 
N18	blank 	blank 
N19	blank 	blank 
N20	blank 	blank 
N21	blank 	blank 
N22	blank 	blank 
N23	blank 	blank 
N24	blank 	blank 
O01	blank 	blank 
O02	blank 	blank 
O03	blank 	blank 
O04	blank 	blank 
O05	blank 	blank 
O06	blank 	blank 
O07	blank 	blank 
O08	blank 	blank 
O09	blank 	blank 
O10	blank 	blank 
O11	blank 	blank 
O12	blank 	blank 
O13	blank 	blank 
O14	blank 	blank 
O15	blank 	blank 
O16	blank 	blank 
O17	blank 	blank 
O18	blank 	blank 
O19	blank 	blank 
O20	blank 	blank 
O21	blank 	blank 
O22	blank 	blank 
O23	blank 	blank 
O24	blank 	blank 
P01	blank 	blank 
P02	blank 	blank 
P03	blank 	blank 
P04	blank 	blank 
P05	blank 	blank 
P06	blank 	blank 
P07	blank 	blank 
P08	blank 	blank 
P09	blank 	blank 
P10	blank 	blank 
P11	blank 	blank 
P12	blank 	blank 
P13	blank 	blank 
P14	blank 	blank 
P15	blank 	blank 
P16	blank 	blank 
P17	blank 	blank 
P18	blank 	blank 
P19	blank 	blank 
P20	blank 	blank 
P21	blank 	blank 
P22	blank 	blank 
P23	blank 	blank 
P24	blank 	blank 
